dataset_name,column_name,ordinal_position,classification,masking_policy,description
raw.core_customer,record_id,1,INTERNAL,,Governed record id field
raw.core_customer,source_system,2,INTERNAL,,Governed source system field
raw.core_customer,legal_entity,3,CONFIDENTIAL,,Governed legal entity field
raw.core_customer,event_ts,4,INTERNAL,,Governed event ts field
raw.core_customer,ingest_ts,5,INTERNAL,,Governed ingest ts field
raw.core_customer,full_name,6,RESTRICTED,MASK_RESTRICTED,Governed full name field
raw.core_customer,email_address,7,RESTRICTED,MASK_RESTRICTED,Governed email address field
raw.core_customer,tax_id,8,RESTRICTED,MASK_RESTRICTED,Governed tax id field
raw.card_authorization,record_id,1,INTERNAL,,Governed record id field
raw.card_authorization,source_system,2,INTERNAL,,Governed source system field
raw.card_authorization,legal_entity,3,CONFIDENTIAL,,Governed legal entity field
raw.card_authorization,event_ts,4,INTERNAL,,Governed event ts field
raw.card_authorization,ingest_ts,5,INTERNAL,,Governed ingest ts field
raw.card_authorization,card_pan,6,RESTRICTED,,Governed card pan field
raw.card_authorization,merchant_id,7,CONFIDENTIAL,,Governed merchant id field
raw.card_authorization,amount,8,CONFIDENTIAL,,Governed amount field
raw.account_master,record_id,1,INTERNAL,,Governed record id field
raw.account_master,source_system,2,INTERNAL,,Governed source system field
raw.account_master,legal_entity,3,CONFIDENTIAL,,Governed legal entity field
raw.account_master,event_ts,4,INTERNAL,,Governed event ts field
raw.account_master,ingest_ts,5,INTERNAL,,Governed ingest ts field
raw.account_master,account_number,6,RESTRICTED,MASK_RESTRICTED,Governed account number field
raw.account_master,customer_id,7,CONFIDENTIAL,,Governed customer id field
raw.account_master,balance,8,CONFIDENTIAL,,Governed balance field
curated.customer_360,record_id,1,INTERNAL,,Governed record id field
curated.customer_360,source_system,2,INTERNAL,,Governed source system field
curated.customer_360,legal_entity,3,CONFIDENTIAL,,Governed legal entity field
curated.customer_360,event_ts,4,INTERNAL,,Governed event ts field
curated.customer_360,ingest_ts,5,INTERNAL,,Governed ingest ts field
curated.customer_360,customer_id,6,CONFIDENTIAL,,Governed customer id field
curated.customer_360,email_address,7,RESTRICTED,MASK_RESTRICTED,Governed email address field
curated.customer_360,risk_segment,8,CONFIDENTIAL,,Governed risk segment field
curated.payment_activity,record_id,1,INTERNAL,,Governed record id field
curated.payment_activity,source_system,2,INTERNAL,,Governed source system field
curated.payment_activity,legal_entity,3,CONFIDENTIAL,,Governed legal entity field
curated.payment_activity,event_ts,4,INTERNAL,,Governed event ts field
curated.payment_activity,ingest_ts,5,INTERNAL,,Governed ingest ts field
curated.payment_activity,customer_id,6,CONFIDENTIAL,,Governed customer id field
curated.payment_activity,transaction_amount,7,CONFIDENTIAL,,Governed transaction amount field
curated.payment_activity,merchant_category,8,INTERNAL,,Governed merchant category field
curated.account_balances,record_id,1,INTERNAL,,Governed record id field
curated.account_balances,source_system,2,INTERNAL,,Governed source system field
curated.account_balances,legal_entity,3,CONFIDENTIAL,,Governed legal entity field
curated.account_balances,event_ts,4,INTERNAL,,Governed event ts field
curated.account_balances,ingest_ts,5,INTERNAL,,Governed ingest ts field
curated.account_balances,account_number,6,RESTRICTED,MASK_RESTRICTED,Governed account number field
curated.account_balances,available_balance,7,CONFIDENTIAL,,Governed available balance field
curated.account_balances,product_type,8,INTERNAL,,Governed product type field
curated.risk_features,record_id,1,INTERNAL,,Governed record id field
curated.risk_features,source_system,2,INTERNAL,,Governed source system field
