grant_id,role_name,dataset_name,privilege,last_used_date,expires_on
GRANT-001,BUSINESS_ANALYST,reporting.executive_kpis,SELECT,2026-09-10,2027-01-01
GRANT-002,RISK_ANALYST,reporting.risk_portfolio,SELECT,2026-09-15,2027-01-01
GRANT-003,COMPLIANCE_ANALYST,curated.customer_360,SELECT,2026-09-12,2027-01-01
GRANT-004,DATA_ENGINEER,raw.core_customer,MODIFY,2026-09-18,2027-01-01
GRANT-005,BUSINESS_ANALYST,reporting.customer_service_view,SELECT,2026-09-16,2027-01-01
GRANT-006,PUBLIC_READER,sandbox.campaign_analysis,SELECT,2026-09-01,2027-01-01
GRANT-007,RISK_ANALYST,curated.risk_features,SELECT,2026-05-01,2027-01-01
GRANT-008,COMPLIANCE_ANALYST,reporting.customer_service_view,SELECT,2026-09-01,2026-08-31
GRANT-009,DATA_ENGINEER,raw.card_authorization,MODIFY,2026-09-18,2027-01-01
GRANT-010,BUSINESS_ANALYST,curated.payment_activity,SELECT,2026-09-17,2027-01-01
GRANT-011,PLATFORM_ADMIN,raw.account_master,OWN,2026-09-18,2027-01-01
GRANT-012,DATA_CERTIFIER,reporting.executive_kpis,CERTIFY,2026-09-18,2027-01-01
